,survey,subject,comment
71,"Challenge setting up other language integrations aside Python. I tried the IScala integration and had a lot difficulty so went back to using the normal Scala REPL. I will like to be able to use R, Julia and Scala with Jupyter eventually also.",function,neutral
72,"I prefer developing in a full IDE, like PyCharm.",function,positive
73,I don't use Python often enough,function,positive
74,No automatic collaboration. Kernel crashing under memory stress where python thorough command line does not. ,function,negative
75,It doesn't work well with standard version control tools because one line of code doesn't correspond to one line in the notebook file  It throws away 30 years of text editor development by replacing a real editor like vim or emacs with a HTML text area.,function,positive
76,I don't spent all the time coding/analysing ,time,neutral
77,"Lack of a project view, inter-notebook copy/pasting of cells.  Not being able to export a Notebook removing code cells but leaving outputs.",function,negative
78,"Number one complaint I have had is the lack of find and replace, autocomplete, and other text-editor style tools. I understand this may not really be the point of jupyter nootbooks, but I find myself cutting code, pasting to a text editor, and pasting back in all the time. In my limited experience (could easily be wrong about this), it doesn't have great integration with virtualenv, so it's a bit of a headache to switch from one env to another and reconfigure jupyter. On the nitpick side, translation of magic commands to equivalent python commands would be amazing when exporting to a .py file. ",function,negative
79,"I'd like to use the jupyterhub with my colleagues but it is available only on linux and we live, unfortunately, in a win environment ",performance,positive
80,"Nothing, it's just not always the appropriate tool.",function,positive
81,"I prefer to use a real editor (vim, emacs) and a terminal for my Python scripts, not small boxes.",design,positive
82,"It's not as nice an 'editor' as a 'proper' programmers text editor (such as Emacs, Sublime, Atom etc).  It can be tricky to scroll up and down and deal with large cells with lots of code.  It's difficult to run an IPython Notebook server that has support for both Py2 and Py3 kernels - ideally, there should be some way to integrate with conda so that you can easily start kernels in any conda environment.  Similarly, I often end up with multiple 'ipython notebook' commands (from the Terminal) running at once, as I want them to be in multiple different directories and in multiple conda environments. Combining this with the previous point: it'd be great if I could have it running as a service (or something similar), and then could just easily create a kernel from any conda environment, and navigate to the right folder - and have it all 'just work' without having to run new servers all the time",function,positive
83,Have to use the browser,design,neutral
84,I usually use emacs.,design,neutral
85,I don't know how to run tests. Sometimes not practical with narrow screen (half a screen)  ,design,neutral
86,"Some issues with NB convert to PDF, the templates for latex seem overly complex.. and no option for simpler, similarly the plug-ins are kind of messed up at the moment, also need 2.11 Scala support",performance,negative
87,moving between coding snippets in the notebook to making changes in another editor/ide. ,function,neutral
88,"I strongly use version control, and the workflow of using the notebook with version control is odd.",function,negative
89,Dealing with more than one programming language.,performance,neutral
90,In my setup - I create interactive notebooks for analysts to use - I have some code (that will run and create a button) that will hid all the input cells (since the code can get long) and just shows the outputs which are ipython widgets and bokeh plots.  While I get along with it - if there are others like me perhaps that could be one of the buttons on the notebook tool bar (to toggle the input cells).,function,neutral
91,Collaboration and versionning capabilities ,time,positive
92,"* The fact that it requires opening a new browser window (I might not want to open a browser at all, or add a tab inside my current/default browser) * The volatility of the environment (it's not easy to have an overview of how many notebooks are open, and their working folder etc.)",function,negative
93,The difficulty with using the same code in the notebook and running it from the command line. Inability to put code in the notebook under version control (git). ,function,negative
94,"Not clear what needs to be installed and what versions, particularly WRT widgets & extensions.  I'm very excited about dashboards and can appreciate how fluid things are.  Finding it difficult figuring out where & how to jump in.",function,neutral
95,I don't have the time. I don't use it at work.,function,positive
96,"Version control. Documentation in some specific topics (js extensions, installation and packaging of nb extensions, nbconvert,...)",function,neutral
97,Support for multiple kernels (especially other languages) is super. Getting it to work is still buggy. The Conda distribution is getting better and better.,performance,positive
98,IMO Jupyter is still publication tool rather then programming tool.  (Databricks notebooks look better).  I would prefer way how to better roll up code.,function,positive
99,Debugging and refactoring ,function,neutral
100,"A few very minor things cause some issues.  If I could auto-add a title when I create the notebook, or if I could mandate being prompted for one, that would be nice.  Additionally, since I am often developing libraries with C components which can't be reloaded (i.e., yt), it can be cumbersome to do repeated, rapid testing in the notebook.  (I haven't yet upgraded to the new version that has this.)  One last thing would be easier integration of modules for things like storing of notebooks (i.e., bookstore) into a given profile.",function,positive
101,A console is usually faster for what I need,design,positive
102,It doesn't make coffee,function,neutral
103,"I spend most of my time doing library/application development, and mostly don't need to save records of my work. I use notebooks as scratch areas and one-off things.",function,neutral
104,No need to use more often.,function,neutral
105,Forced vertical follow of everything ,function,neutral
106,Nothing. ,function,neutral
107,"- full(er) latex support including cross references for figs, eqns, etc.  - a pure text format for version control / diffs and to allow working from text editor (I strongly dislike working in browser) - ability to output to PDF or a nice printable format - something like nbviewer but allowing execution of code (or like jupyterhub but without manual uploading) - better default styling or easier customization - better widget (animations) support",function,positive
108,"The biggest thing I miss when using Jupyter is code completion. The addition of an intellisense-like code completion add-on would be a massive step forward. I'm constantly working in several languages so it's hard to keep all of the syntax for various packages in my brain at all times. I love python, love Jupyter, but the lack of code completion is a very glaring deficit at times. ",function,neutral
109,"Javascript, D3 support",performance,positive
110,"Nothing, the ability to combine data analysis and reporting (to .pdf) in a single document is perfect.",function,positive
111,"It's really good for annotated code and analysis, but it is not the best if all I want is to take regular notes. I understand that's not its main purpose and I'm suggesting it should be. ",function,positive
112,- I wish I could make them wider on my 2K screen - every notebook opens a Python icon in the OSX dock,function,neutral
113,I only very recently figured out how to save Jupyter Notebooks in different places (I navigate to my working directory before typing ipython notebook in the command line). Not having flexibility was a major *perceived* hinderance and could be a good thing to address in the documentation for newbies??,function,positive
114,"Nothing, because I use Jupyter Notebook for calculos and notes. ",function,neutral
115,more emacs bindings or more shortcuts that are intuitive,function,positive
116,Need search/find (4.1 when available) Need diff tool for Notebooks ,function,positive
117,"corporate limitations on work projects, laziness on my part on home projects",performance,neutral
118,lack of diffing and merge tool. (e.g. nbdiff for previous versions of jupyter),function,negative
119,Its confusing to run selected portion of code esp when i change something in the function definition. ,function,negative
120,I use it for hobby projects and only rarely at work. For scientific hobby prokects I use it extensively.,performance,positive
121,I use it extensively for hobby projects and almost never at work.,performance,positive
122,Colleagues using Matlab,design,neutral
123,"It's a bit of a pain to start and stop it. I typically work on different projects in different folders. I bring up a command prompt, cd to the right place, start jupyter, then visit with my browser. Then I need to remember to go back and kill it when I am done. Yes, I could run only one up at my home folder and leave it running all the time. I hate clicking through a giant folder tree to get where I need to be...",function,neutral
124, ,function,neutral
125,Notebooks encourage sloppy and non linear programming.,performance,neutral
126,Still developing my workflow,performance,neutral
127,"Lack of fully-fledged support for authoring.  Compare to the knitr / Sweave model that is fully integrated into the RStudio editor, with support for authoring publication-ready journal pdfs (code chunk options, caching, inline code blocks, tight integration with templates for LaTeX, html, html5-slideshows, etc).  ",performance,positive
128,Advances text editing features,function,neutral
129,"Lack of file management in dashboard, meaning sorting by creation and modification times.",performance,negative
130,"I don't know if it's some kind of special keystrokes, or mouse gestures, but it often changes modes for the current line, and I've got to manually change them back.",function,neutral
131,jupyter rocks! maybe full text search?,function,neutral
132,"I prefer to work in the terminal. Sometimes I pull it up because I need better multiline editing. Rarely I will use it to author a notebook for external consumption (not because it isn't good for that, but just because I don't really need that that often). ",function,positive
133,I use Jupyter Notebooks for education and it is often difficult to get a quick and simple setup that all my students can use. It can take me several days to figure out how to deploy JupyterHub which takes away time from actually preparing material.,function,negative
134,Much of my work involves collaborating on development and maintenance of large existing applications.,performance,positive
135,Being able to download files generated inside a cell in the output.   Uploading a file to the filesystem from a notebook cell.,function,neutral
136,"Interactive visualisatikn of images, plots etc",function,negative
137,"As a 'development' environment - as a notebook for analysis - it becomes 'difficult' after 15-20 cells.  By difficult, I mean following branches made - eg a diversion to check some calculation in a few cells - even with headings before and after - could be easier to scroll back to or find.  Some form of outlining (or block folding) would be great.",function,neutral
138,"When I need to use Python + Pandas to analyse data (I am a researcher). Obviously, this depends on the task I am currently working on. In any event, I am using Jupyter notebook more these days.",function,neutral
139,"Having to start/stop the server and kernels, having `.ipynb_checkpoints` directories everywhere",time,neutral
140,Combining code and output in a single file makes it hard to integrate correctly with version control.,function,neutral
141,"The inability to easily print results as they are seen on the notebook. Especially for my students, having to install LaTex or print from an HTML file is far too difficult just to print out what looks so nice on the screen. In addition, the LaTex looks nothing like the original (with good reason), and this makes it much harder to get what I see into my hand.",function,positive
142,Integration in version control (git). ,function,neutral
143,not easy to turn notebook into python modules to make code reusable,function,negative
144,"Lack of ability to select multiple cells, copy cells between notebooks. Terrible documentation, particularly of interactive widgets.",function,negative
145,I use whenever I need to and when it's the best tool for the job. Not because there's something wrong with it. ,function,neutral
146,Easy integration with git,function,positive
147,"1. For advanced terminal users, the lack of full emacs (or vi I guess) editing modes is annoying. Maybe it is just that the IPython terminal is too awesome already!  2. Version controlling ipynb files is annoying (but possible and I do it for some notebooks).",function,negative
148,"I would like a better way to export to different report formats.  For instance, RStudio has a great way to ""Create Report"" which opens R markdown file that is pre-loaded with defaults for MS Word, HTML, etc.  Even after trying nbconvert I am not too satisfied with this aspect of Jupyter.",function,positive
149,Time!!,time,neutral
150,Difficulty in github synching,function,negative
151,Live multiuser editing,function,neutral
152,"ability to script in the notebook so I don't have to have a terminal open for editing standalone code  it would be amazing if a text file could be opened and edited in a cell.  the other problem is absence of something like vim keybindings. The notebook sucks as a text editor.   If there was a vim mode w .vimrc type customization, I'd be in heaven and would likely never not code in jupyter.",function,neutral
153,The integration of interactive components in the notebook.,function,neutral
154,"Editing files with large amounts of code is still best done in a text editor, though progress has been made on that front.",design,positive
155,"Shortcut bindings. I'm most productive in vim, the shortcuts in the notebook just don't feel as fluid. Probably isn't a problem that's solvable, but someone might have a nice solution.",function,positive
156,1. Difficulties diffing notebooks in version control.  2. Interface issues on mobile devices 3. Slide show usage is still tricky,function,negative
157,"I would like a way to connect an ipython terminal to the same kernel that backs the notebook.  Sometimes I want to test code before putting it in a cell and other times I want to build up code incrementally, inspecting the results.   A terminal that opened at the bottom of the screen would be nice. (maybe split the space vertically with the documentation browser) ",function,positive
158,I prefer running R in Emacs.,design,positive
159,"Recently appointed CTO, so much of my time is currently taken up with strategic matters",time,neutral
160,"The only thing I don't use it for is for writing scripts and when I don't need plots, which is when I use Sublime.  It is used in prototyping those scripts though.",function,neutral
161,Missing code editor. I often find myself going back to a text editor and copy-paste code from and to jupyther,function,neutral
162,No smarter way of storing notes/no obvious hyracki ,function,positive
163,"Primarily use R, Rstudio is better for R.",function,positive
164,- Difficulty in maintaining emacs-like editing capabilities  ,design,positive
165,"* a ""clear and run all"" button to get rid of variable persistence (possible with Kernel > Clear all then run but that's more clicks) * a IPython notebook .app -- it'd be really nice to double click on a notebook and have it open",function,positive
166,maybe the interface becomes slow if the notebook is too large: entire sections of the notebook could be collapsable so that collapsed sections are not rendered and the notebook stays fully responsive. ,function,neutral
167,"No easy ""slide making"" button. Hard to turn notebook into a package or library of ""run often"" code",function,neutral
168,"Nothing, it is a joy and I use it whenever I can.",function,positive
169,"1. Easy drag and drop for reorganizing cells 2. Good version control - the json ipynb structure and cell number are distractions that prevents user from seeing what code actually changed  3. table of content  4. easy collapse of code / output cells  5. saving python data objects - we need a .Rda / .Rsession / .Rhistory file equivalent in IPython. (sorry this may be too much to ask) 5. Jupyter notebook should allow people to write scripts to control table of content, easy collapsing of code / output cells and the CSS style easily 6. Syntax check, Pep8, pylint, pyflake  7. automatic line wrapping for long lines! Lines longer than 80 characters should be wrapped if the user enables this feature. ",function,neutral
170,Its hard to navigate long notebooks. ,function,negative
171,"Easier version control would be great. I tend to have a bunch of copies of notebooks with different dates, which gets cumbersome. I also would like some tools to filter the directory interface and remove files that cannot be opened by jupyter. ",function,positive
172,Inertia with other tools. ,function,neutral
173,"The fact that sometimes I need to scroll back and forth a lot between two cells. It would be great if they're was an option to set a cell layout, e. g. two columns of just the super comments in markdown would be great to have ",function,positive
174,When gigantic debug log message output crashes my browser. ,function,negative
175,Installing and working with Jupyter on Windows is cumbersome. The built-in web-based text editor is not as powerful as my everyday desktop text editor. ,design,negative
176,UI sucks,function,negative
177,It has to be served. I want ipython notebooks to work when I click the file in file explorer,function,positive
178,No collapsible cells / sections,function,neutral
179,The lack of facilities for code re-use. I know there are hacks for importing between notebooks and the like but it still doesn't beat a text editor and DVCS when I want to make something that I'll import or make available on GitHub. My notebooks tend to get messy and out of order. Maybe I need to figure out a better workflow but I often feel a traditional console (i.e. qtconsole) is better (along with the aforementioned editor or IDE).,design,positive
180,I wish there was a way to keep a change log of a notebook,function,neutral
181,Lack of integrated collaboration. Lack of blogging platform based on notebooks.,time,negative
182,"I mostly use IPython, not the notebook feature, so this is fine as is.",function,positive
183,I prefer vi for significant editing.,function,positive
184,Less than optimal startup friction; Some issues with keeping track of installed packages.  Some issues with reproducibility (changes to cells can be hard to track while working).,function,negative
185,"Notebooks tend to get big and messy when used as a scratch pad. Auto generated table of contents would help, as would more options for organizing sections and cells. ",function,negative
186,Interactive debugging is too difficult.  Setting breakpoints by clicking line number and then running in debug mode and having a nice way to inspect memory like Pycharm would be filth!,function,neutral
187,"- Inability to search across multiple notebooks (e.g., when using as a daily lab notebook) - Hard to separate important from less important stuff when using as a lab notebook",function,neutral
188,"Comprehensive and reliable undo Editing Notebook structure (move many cells at once) Structure editing, hiding subsections",function,positive
189,needs a dedicated cell that behaves like a shell,function,positive
190,"It'd be nice if it could be an even better format for *doing* math, not just writing it up. Not sure exactly what that'd mean, though.  ""Graduating"" notebook code to in-a-package code is also not as seamless as it might be. If the code editor part had vim bindings and other stuff that made it good enough to be a full time editor, that'd be a huge step.",function,positive
191,Better head switch. I m using different machines to work on the same server . I often loose previous output,function,positive
192,"integration with editor to get linting, multiple selections.   an inspector panel",design,neutral
193,"Version control. I find it unstable due to the rapid pace of development, it's hard to keep track.",function,negative
194,"Installation is hard, so it's hard to spread the gospel.",performance,negative
195,"It can't integrate several languages within the same notebook. E.g. Some paragraphs with Scala, some others with SQL, etc...",function,neutral
196,Better native SQL support would mean I wouldn't need to switch to an external tool as much to write ad hoc SQL queries. ,performance,positive
197,"it would be nice if they had more tools to edit the code in the cell, for example, comment / uncomment a selected area code",function,positive
198,Need of more libraries on geologic and geophysical data processing in python. ,function,neutral
199,Lack of 3D plotting capabilities ,function,neutral
200,"I'm too attached to emacs shortcuts. I haven't tried using emacs-ipython, but soon...",function,neutral
201,"At times I need to use other work environments (e.g. Atom) when I need other tools, e.g. non-exploratory work.",performance,positive
202,"It is not vim, and when I make a booboo resulting in an infinite loop, I can't   but have to reach for the Interrupt button in the interface.",function,negative
203,"I don't fully understand it yet.  I understand what it does and am blown away by little tricks and magic commands.  But coding is my day job and this still feels like a weird way to code.  I'd also like to use it more in teaching kids Python, but I need something like http://trinket.io/ for notebooks.  Hosting it myself is too much work.",function,positive
204,"1. Speed for larger files jupyter is slow. 2. Trouble with integration with git. 3. Export to LaTeX lacks support for Polish language. I have to tinker with tex file in order to compile it. 4. Creating slides is not very intuitive. 5. Cells grouping only appeared in the recent beta. 6. If I delete a cell, the content is lost forever - it makes work very exiting and dangerous. 7. Drag and drop for cells and group of cells would be nice. ",performance,negative
205,- cumbersome cell manipulation - support for versioning,function,negative
206,Having an easiest to connect to distant servers through ssh tunneling / issue with some js call with proxies,function,neutral
207,Ease of installation greater language support.,performance,positive
208,legacy!,performance,neutral
209,better debugging for variables,function,positive
210,1. Sometimes it gets very large. Feature of multiple files would be great for developers. 2. Multiple screens e.g. screen divided across 4 files.,function,positive
211,Sharing code with people who don't use the notebook.  Editing features of eg. Sublime/Emacs.,function,positive
212,I use it for general purpose programming and explorarory stats but not full blow stats tical modelling. Statistical software offers convenience but lacks flexibility. Eventually we could build a convenience in but it would take a while,performance,positive
213,Fiddly version control integration ,function,neutral
214,keyboard shortcuts like vim,design,positive
215,"On a daily basis my work tends to be quite heavy in computations (large Theano models, but not necessarily Deep-Learning related) which do not seem to work well with notebooks; my machine seem to struggle a bit more when I am working with such models in a notebook and I naively assumed there was a overhead with notebooks.  I am using it extensively though for either quick prototypes (like data explorations and snippets) or to have a polished render of my work.",performance,positive
216,"Seems a little unnatural to me, but that is probably because I am not sure how it works.",function,neutral
217,supporting Perl would be handy,function,positive
218,Rendering with MathJax is very slow; nbconvert for LaTeX sometimes is broken; the absense of tools for nbdiff and nbmerge.,function,negative
219,Real time multi peer collaboration (a'la Google Docs).,time,neutral
220,Seamless integration to other languages out of the box. Better version controlling for sharing work with peers. ,performance,positive
221,"Better/simple exporting tools to pdf. I use a lot of math in my notebook, and I usually need to share a pdf copy with my team, who do not use Jupyter",function,positive
222,I do a some Django development that requires me to use Eclipse. I wish the text editor had better python coding tools like auto-complete using tab.,function,positive
223,The tasks that I like to do in Notebook are a more or less monthly thing. I mainly use it as a learning tool.   I use Emacs for most programming tasks. ,function,positive
224,time ? No I really use it every day at work. (I can't use it much more!),time,positive
225,other work that needs to be done ;-),performance,positive
226,"Difficult to get needed information for installing/using nbextensions. Confusion surrounding the iPython/Jupyter transition, naming, and individual elements Uncertainty how to *easily* implement notebooks for university classes I teach (electrical engineering)",function,negative
227,I don't do a lot of the types of work Jupyter is good at. I'm mostly developing Python packages and I find the ipython console good enough for my needs there.,function,positive
228,Predictable saving of files and version control,function,positive
229,"- Hard to make work with version control + code review, so I only use it for one-off, low-risk analytics that I don't need reviewed -Less efficient as an IDE (I use emacs... have tried using with EIN but just never took off for me). Miss my keybindings, etc. - Can't connect to an existing kernel (we have an ipython-based dev environment for our GAE application... would really like to use a jupyter notebook as an interface in this context but that would require connecting to an existing ipython kernel, which I haven't been able to figure out)",function,neutral
230,"I mostly use R in RStudio and Python in Jupyter. Jupyter is good to write communications, but it ask for too much scrolling up and down for data analysis. The fact that it lies in a browser is also weird to me.",function,negative
231,- Does not have variable explorer (like Spyder IDE). - Does not have a standalone desktop application (have you thought about using GitHub's Electron to develop a desktop application?),function,positive
232,"iPad usability, mostly performance",performance,neutral
233,live collaboration features,time,neutral
234,Lack of debugger,function,negative
235,"- Better editor (more vim-style) - Better nbconvert (Make it easier to write paper in jupyter. Right now I can't even find out how to change the title of the resulting latex document) - Better integration with Git (automatic removal of binary blobs before commiting, Maybe allowing view of diffs within notebook)",design,positive
236,Delayed printout from print statements,function,negative
237,"Lack of time to redevelop workflow in Python Lack of git integration in Jupiter Notebook (that I'm aware of) Non-intuitive (or broken, I can't tell) debugger—I'd really like my students to be able to step through their code line-by-line, Visual Studio-style, to find where bugs are",function,negative
238,"In part coauthors, second, the lack of some statistical routines in python, in particular methods for panel data. Third, I like to work in vim when writing code. ",function,positive
239,"Jupyter Notebook ""Windows 7+"" experience is inferior to Linux one",function,negative
240,The ideal setup is a way for me to use the terminal some of the times and to update a notebook in Vim and being able to see any changes I've made with git diff.,function,positive
241,"I use cloud services (e.g. Google Docs, etc.) for virtually all of my work. Using Jupyter requires mental shifting of gears and a different type of platform to use. I run a Jupyterhub server on the Internet just for myself, but managing and organizing the notebook files with Github is simply an awkward workflow that I haven't quite figured out how to do well. If I could just use it the way I use Google Docs directly, it would be perfect.   This also limits my ability to spread the word to others in my field.. ",function,neutral
242,Deployment issues. There was a lot of fiddling involved in getting a server thrown up and connected with our auth (CAS) and sotrage backends,function,negative
243,easy ruby support,performance,positive
244,a simple table input for an array,function,neutral
245,Lack of code completion,function,negative
246,lack of other editor features that are found in vim.  Standalone web applications like R's Shiny or Python Spyre.,function,positive
247,"Fiddling with packages, lack of search and replace, lack of debugging",function,negative
248,"Currently cannot use ""Fenics"" PDE package in my anaconda environment.  I use Notebook for some things, but still use command line and TextWrangler for Fenics.",function,neutral
249,"Everything, that distinguished it from IDE like Pycharm. But it is fine",function,positive
250,Kernel for matlab is not running optimal.,design,neutral
251,"Computing is but a part of my work, and prototyping in Python but a part of my computing. Other interface (emacs editing LaTeX and noweb sources) are still superior to Jupyter worksheets. Some outputs e. g. docx reports) cannot be obtained rom Jupyter.",function,positive
252,"1. less optimal editing enviroment compared to other editor like atom and sublime. 2. once a cell is run, has to halt anything else in the same notebook. 3. support for other language like C/C++ is poor with 3rd party kernel.",function,positive
253,c++ engine ,design,neutral
254,Multi-cell cut&paste,function,neutral
