,comment,survey
112,1,"it is not a universal tool. Sometimes I need to build more flexible websites than is possible today, or I need to build a backend service."
113,1,Collaborators who insist on using legacy platforms like MATLAB.
114,1,"Post mortem Debugging, Better Debugging in general"
115,1,no 'undo' no proper Git integration too much scrolling necessary for large notebooks
116,1,Notebooks aren't suitable for every task -- writing library/package code for example.
117,1,"I'd love to have more interactive widgets. I have to annotate a lot of volumetric data and I'd love to be able to draw bounding boxes or drag polygons inside a notebook widget. Also better support for viewing 3D meshes and other data would be great, but not really something  that the Jupyter team should be solving"
118,1,"The usability in terms of keyboard-only usage could improve. I often have to utilize the mouse (eg. activate an input field). It would be great to get really good hints on what shortcuts are available that are visible during everyday use (eg. underlined characters in the menus) and not only when opening an extra cheat sheet (like it is today). You can only learn the shortcuts, if you see them regularly.  Additionally, the help integration for the programming language I'm using and also additional libs could get better. In times it's really frustrating to search for some function syntax. The SHIFT-TAB stuff is a good start, still I'd like get more and better layouted help. "
119,1,"Support for more languages. The kernels are note easy to install, nor behind a corporate proxy. Should just be an EXE like Beaker Notebook"
120,1,i mostly write postgres sql so if you supported that as a language then I would use it more.
121,1,Language integration with Lua. Multi-user accounts. Better organization of work (I combine links to Jupyter notebooks with Evernote documents to document work)
122,1,It should be less of a document and more of a dynamic display.
123,1,Text editing ability closer to sublime (multiple selection)
124,1,I wish the notebook style was more easy to use (Mathematica style)
125,1,"Would be great to have advanced editor keyboard shortcuts like e.g. sublime text or atom.  Would also love an easy way to ""push"" code from cells to external files so they can be edited by an external text editor. This is both for editing, and to hide complexity and boilerplate initialization used across notebooks.  I've sometimes found it a little difficult maintaining a suite of notebooks that all rely on common code."
126,1,Better dashboards! 
127,1,"This frequency of usage makes it a regular part of my workflow. I actually need to use it less :) as many scripting tasks would almost better be done in Sublime Text with its more advanced editing tools. I still revert to the Notebook for the increase,entail workflow that I really love.  Having said that, there are pain points -- my first experience of widgets was clunky and improving them would be a focal issue for my regular use in the future. "
128,1,Better haskell support.
129,1,"Python's shortcomings.  The GIL is murder sometimes.  Ease of sharing results with colleagues--both in terms of format, and in terms of lowering the cognitive costs of understanding how the notebook actually works. Consider some different visual cues to delineate code from markdown even more than it is already (I enable line numbering, and that seems to work pretty well.)"
130,1,Browser requirements. Exporting files and saving images. 
131,1,"The interface isn't the best. It would be good to have full-width textboxes when the window is maximized, and to not have to scroll down every time you re-display a graphic in the last cell."
132,1,I don't need it for work by nature. I'm using it to learn and for some side projects and I don't always have time to work on them
133,1,Would prefer a native application on iOS and MacOS X. The QT version is ok but suffers from not being a native toolkit. Web Browser version is usable but lacks the flow and system integration that comes with a native application.   iOS is becoming more important as a large part of my workflow is done away from my desk using that platform.   
134,1,If it had a simpler UI it would be better.
135,1,It's a bit less convenient to use than the IPython command line shell for some use cases.
136,1,It is more of a notebook but it would be nice if it acted almost like an IDE for project-management.  Being able to run multiple modules or pages that link together in the same instance to help break up the notebook page into manageable chunks then a means to pull it all together into a final cohesive program would be quite useful.
137,1,Better performance with large noteboooks / notebooks containing large images
138,1,"moving code from a notebook to my IDE. It would be great if I were able to highlight multiple cells and ""copy code content"""
139,1,Need better support for themes - I prefer dark backgrounds for coding.   I got my setup working on my work computer by changing existing theme files. Repeating it on my personal machine seems too cumbersome to do again.  This is something I have heard from another friend who I got excited about jupyter.
140,1,"Navigation in large notebooks. I think some automatic table-of-contents/overview mode would be very handy. Also, it would be nice to support detaching from a running notebook or run notebooks in batches. This would be really nice because contrary to a script, you can run your experiments, go to sleep and then just open the notebook to see your results and plots all inline with the code. It also helps document what exactly an experiment did since you've got the results and the code in the same file."
141,1,for work based environments is security particularly the arbitary execution of code. 
142,1,The editing capabilities such as:  - indent region  - comment block  - **multiple undo**  - undo across cells
143,1,"Exporting 'finished' reports is one aspect. Yes, there are workarounds to code it, but adding simple features that allow you to export analyzed data / diagrams / charts in high fidelity formats is very important."
144,1,"Most of my data lives in Postgres, and for exploratory work an IDE with great introspection and autocompletion is faster. "
145,1,"(I'm mostly using with python data science libs) Knowledge on how to built extension. Currently I don't know how to do this, so I'm using only for worklfows that are pretty standard."
146,1,"Excel suffices for most of my workflow, and is the primary tool that my group uses."
147,1,Don't always do work on the computer
148,1,I don't need to do this type of work more often
149,1,"When changing python modules in another editor, it would be nice if reloading them didn't need a kernel restart. Especially if they are imported as:  from x import y as z"
150,1,Working out how to better combine exploratory work in notebook combined with writing scripts/programs in an external editor for future use (especially since the editing tools in external editors are much more powerful than in notebook)
151,1,"Better report generation. I am supposed to save things in MS Word or pdf format. This is much easier with org-mode, which I also use."
152,1,"Better terminal integration, text editing features"
153,1,"I don't use it for multi-file development (where I am working on both Python modules imported from another file, and the file that imports them). I find it too cumbersome for that workflow.  I also find the non-relationship between execution ordering and visual ordering off-putting for development. When reading code in another IDE, I know the execution order is determined by the visual order in combination with the call graph. In Jupyter Notebook, since a cell below could've been executed before a cell above, the ordering now must include the numbers next to the cells; this is too many elements for me to keep track of. As a result, I tend to only use Jupyter Notebook for exploratory work (more like a REPL), and copy and paste code into a text editor as I finish with a small snippet."
154,1,"Most of what I do is pretty canned, so scripts are better ways to run things.   I use jupyter for experimentation and tests.  "
155,1,format of the notebook content.  prefer markdown
156,1,"Starting up an instance in the terminal before accessing with a browser. It's be a simple thing, but a native wrapper around Jupyter server set-up and saving would be nice."
157,1,"Maybe better integration. Right now I have to manually start the jupyter server and browse to the folder where I want to save the notebook, and that takes energy."
158,1,"While writing individual scripts, it is fairly easy to split them apart into smaller interoperable units by cutting and pasting and imports and the like.  I've noticed that my notebooks tend to become a little overwhelming, and there is just enough of a barrier to extracting parts of the notebook amongst multiple cells into a script to keep me turning to the console ipython most of the time for initial investigations."
159,1,"Would like a mode for notebooks (a la read-only) where the default setting is to not modify the existing notebook, only to save a new one. Helpful when sharing a demo notebook via a git repo"
160,1,"Not a normal part of my job, but useful when I need it"
161,1,Create User Accounts No easy to select a diffrent color scheme
162,1,Lack of really good Vim support.
163,1,Editing capabilities for text. Ability to convert from notebook form to plain text and back again?  Working on multiple notebooks.
164,1,Editing outside of Emacs is less comfortable. 
165,1,shift in perspective between coding effectively in emacs and clicking around in web browser
166,1,Lack of better ide like functions. 
167,1,Stability
168,1,"I tend to build things up in a notebook by creating one function at a time, but as things get bigger, I have to execute more and more code blocks each time I restart the kernel. I eventually move parts over to a python/julia module, but then when I need to make changes, I have to do that in an external editor and restart the kernel.   It would be nice to be able to do all of this directly in the notebook, not sure how that would look exactly. Maybe a cell type that was a little embedded editor/ide with a file browser."
169,1,Don't use python at work
170,1,"Akward to commit to repositories, and for proper debugging. I also refer rstudio for visualisation"
171,1,"* need a black theme (eyes sore from too much light) * need CLI interaction (for commands but maybe curses-like too) * need debugger support (like pudb, ipdb, pdbpp, wdb?) * provide a way to execute some cells asynchronously (sometimes we would like to execute some monitoring code or command prompts or `pip installs`) * interactive input widgets (so we can drive matplotlib-like plots)"
172,1,- smooth integration with other languages - hiding code
173,1,"Some kind of ""export cell as library"" support that would streamline saving the content of cell(s) in a source file (eg: .py, .jl...) and reusing it."
174,1,I wish for a dedicated app rather than a two part server + browser solution.  Also richer document creation and slideshows would help.
175,1,Better integration with batch-based computing clusters
176,1,"Two things:  1. It is too mouse-driven. I'm a bit embarrassed to complain, because I should just build an emacs-layer myself. Presumably there'd be a vim-layer available too.  2. Does not play nice with version control. I prefer to keep my source separate from my results, and it's difficult to get Jupyter to do this. If nbconvert could run the same ""Clear All"" command that you can run by clicking in the notebook, dumping the clear-all'ed to stdout, I think I'd be golden."
177,1,Better keybindings for text selecting.  Eg would like emacs bindings
178,1,"Interactive development is just not a good model for software development. Static typing, slow and proper software design, planned unit testing, data provenance, logging, etc., etc., are all extremely important **even in a rapid prototyping situation**. In fact, these things might be even more important for a rapid prototype than for more traditional software development. The notebook is just not a good setting for these things, even though many of the types of problems the notebook is supposed to help solve (interactive data cleaning, rapid prototyping, cursory data exploration) should all be heavily, heavily based on proper design, unit testing, and so on, even when they are being worked on in a ""rapid"" environment."
179,1,"The forthcoming JupyterLab, more IDE-like interface based on phosphor.js, better notebook sharing features and cutomization (plugins)."
180,1,"It's starting to become a regular tool. I run the notebook server on a VPS and use the notebook through SSH. I run the notebook server on code in a Git master branch and I sync that with a local branch periodically. I have mostly just used Idle in the past because that is very flexible and I get a complete transcript of my programming session. But support for Idle and improvements to Idle have mostly stopped. I like the general idea of the notebook but the format doesn't support some things very well - testing for example. I would like to have my tests in a separate notebook that is linked to the one I'm currently developing (same kernel I guess). I would like my tests to be separate because if they are in the same notebook as my normal code then it is distracting. I could migrate out my tests to  a separate file, but then they are not in the same notebook format as the regular code which is very convenient.  Some things in Jupyter are frustrating: 1. the kernel cannot be reliably interrupted. 2. kernel crashes. This means that datasets must be reloaded which can take a long time in my case. 3. code is not reloaded easily: I have to manually use reload(module) if the code is in a file. The notebook should reliably reload modules: I realize that this is a long-standing problem in Python generally that has still not been resolved after all these years. 4. code reload in a cell is very buggy. I've had old code remain in a cell after making a change that has caused some strange results. A reload of the code in a cell should clean out all of the old definitions and variables in that cell so that there can't be any strange behaviour due to old references. "
181,1,Having the admins at work install it. 
182,1,"Only use it for data processing, which I don't do regularly. Most of my code is OCaml, and the notebook workflow doesn't work well in that context. "
183,1,Better R  Python integration.
184,1,I don't know of a clean way to reimport modules that I've edited without restarting the kernel 
185,1," - No double click to run notebooks on OSX  - Diffing/source control for notebooks is a headache  - While developing a module outside of the notebook, it's hard to force a reload of that module (things like %autoreload don't seem to work) in the running kernel (for testing changes)  - No easy way to see what variables are defined in the kernel already and examine their values"
186,1,"(1) I would like easier-to-use, standardized interactive graphics. (2) I would like my users to be able to go to a web page and run my code, without having to download and install anything."
187,1,"If there were an easier way to integrate Jupyter Notebook with Django, it would be extremely useful."
188,1,Good Git integration.
189,1,Ide-like interractuons wien writing code
190,1,"The memory use often makes me unable to load in my data as fully as I can in a more traditional IDE.  It also isn't as easy as I'd hope to generate loads of graphs iteratively, which means Jupyter isn't as good for data exploration - my main use case."
191,1,"The saved state is hard to quickly clear. If I am working on a cell that changes a variable I have to re-run the cell that sets that variable every time I run the cell I'm working on. I wish there was a keyboard shortcut to restart the kernel, clear all inputs, and re-run the whole notebook. Or at least throw out the execution of the current cell and re-run it."
192,1,"I can't apt-get install jupyter in Debian.  Using pip appears to pull large quantities of software from what amounts to another distribution. I know and trust Debian and the DFSG; I trust it to play well with upgrades.  If there's a simple semantic mismatch (like iPython vs jupyter), it's sure not obvious to me at first pass.  I'd love to use Jupyter, but it needs to fit into the reliable framework that's treated me well for the past 15 years."
193,1,Mature versioning system built-in to the UI
194,1,"One reason I end up using RStudio with R more often than Jupyter Notebook is because with RStudio I can resize graphics to my liking (manually) prior to  output to files. Also, RStudio and R have easily available help documentation for functions whereas with Python libraries I end up searching the web. This interrupts my workflow more than using R with RStudio."
195,1,I want collaboration with real time cursors like google docs has.
196,1,"I use the notebook to develop non-interactive analysis scripts and as a nice graphical interface to ipython.  Using IPython is often the most convenient way to read the documentation, especially because inspecting live objects helps to clarify what they're doing."
197,1,I think desktop app would help. Even something like Atom+Hydrogen.
198,1,"Effort in converting Notebook analysis to either complete modules (with tests, etc) or to dashboards for external users (a la Shiny)."
199,1,More time to work on it
200,1,"Better code completion and tooling. I run mine inside Pycharm, which helps a lot. Better data source integration. ex: saved data sources that don't require you to store plaintext credentials in your code."
201,1,"Using ancient Python 2.6 on RHEL6 for work, which hinders the ability to use modern versions of ipython."
202,1,Very useful for scientific research.
203,1,"Two things off the top of my head: 1. My ordinary text editor (Sublime Text) is much better than the Notebook interface. 2. Version control collaboration with notebooks seems awkward. I haven't tried to git merge ipynb files, but my guess would be that it is complicated."
204,1,"I don't like typing code into a web browser. I write code every day and I use my text editor for that.  I find it hard to fit into git-based workflows. JSON diffs are not nice.  I sometimes wonder whether what I want is a way to edit ipython notebook code from a plain test format like  markdown, i.e. similar to this project: https://github.com/aaren/notedown"
205,1,"Better iOS client support. More buy-in from the core-engineering team (they love Ruby, Go-lang, PHP, and are suspicious of Python)."
206,1,"Easy access to command history (via up-arrow, Ctrl-r etc) - this is very useful in the ipython shell and I miss it in the notebook"
207,1,"Doesn't seem to fit with building a large project, prefer IDE"
208,1,Mostly inertia. I'm still not used to it and the nicest features don't integrate with Emacs.
209,1,"My work does not always involve sitting in front of a computer. On weeks where I am doing more data analysis, I use it quite a bit more frequently than the ""weekly"" indication above."
210,1,- Multiuser support - Debugging capabilities
211,1,"More accessible language kernels for multiple languages: ocaml, java."
212,1,It would be awesome to see notebook generated graphs and such easily be exported to power dashboards etc. outside of the notebook environment.
213,1,1. Easier to deploy 2. Missing documentation / tutorial
214,1,"1. The integration of matplotlib could be better. E.g. resizing of a graph still does not trigger a redraw, and is not stored for the next run of this code cell.  2. A basic version of shared notebooks would be great. Of course, real time collaboration at one notebook would be best, but running notebooks on different machines, and tracking individual changes would be a great first step, thaat, I think, is much easier to realize, and  almost as helpful.  3. Some lightweight admin level for code cells (run, delete, move cell groups). Probably possible to combine this in a reasonable way with some structure of the notebook."
215,1,"Running code with thousands of lines of print, works poorly. Would be nice to have an easy way to execute a block of code in the terminal.  Editing text is not on par with sublime text. "
216,1,I use it heavily to do exploratory data analysis. I conduct trainings often & feel Jupyter is the best way to do it.
217,1,"some nice ideas, but there should be much more. other projects like rstudio offer far superior features for years."
218,1,"The majority of my Python work is on personal projects that don't require me to share code, so it is often easier to use a desktop IDE (like PyCharm or Rodeo), or just use Sublime Text.  The setup processes for these are marginally quicker."
219,1,I work with multiple files with large quantities of code. I have not find an easy way to integrate Jupyter into my workflow except for small tests or results
220,1,Being a separate tool: I'd like to use jupyter without switching between my editor/IDE and jupyter
221,1,It is still at its enfancy with regards to citation etc
222,1,"Lack of a convenient way to run code chunks (we have run all before, run all, etc.), but I""d really like to be able to select a group of cells and run only those, rather than running each cell manually. (merging groups of cells simultaneously might also be nice). "
223,1,Lack of ease in publishing work (e.g. generating PDF without code blocks)
224,1,Scrolling up and down in the notebook (RStudio interface is an ideal data analysis workbench)
225,1,Acceptance and support within my company
226,1,"Being polyglot, it would be very good if we could use multiple languages in a single notebook."
227,1,Better code editor
